text,label
ойын ұл су достар дүкен интернет қалам тамақ құстар.,0
"кеш адамдар,",0
телефон үй,0
дала үй саяхат кітап ашық ауа дала ән.,0
жол достар ән сабақ жаңбыр жаңбыр көлік интернет жаңбыр.,0
тау өзен адамдар тамақ кітап телефон қызық қалам ауа өзен ағаш ағаш тау қызық,0
телефон кітап ...,0
қар телефон дала ұл ағаш жабық қызық кеш кеш сабақ жабық жол кітап дүкен қар,0
тамақ ойын мектеп аспан тамақ қыз дүкен қыз жапырақ аспан.,0
сабақ ұл су дала телефон қалам мектеп құстар қыз өзен.,0
дүкен ағаш өзен интернет әжем аспан ашық сабақ жаңбыр ...,0
адамдар таң жаңбыр,0
би қыз әжем мектеп ұл үй қалам көлік.,0
адамдар қыз аспан дала саяхат қызық көлік кітап ... сабақ қызық ауа тау ауа кітап жапырақ ағаш мектеп.,0
достар ағаш интернет қала ұл жол өзен әжем қала ...,0
"аспан қар тамақ мектеп тамақ жапырақ кітап көшеде, қыз тау өзен,",0
дүкен ән телефон қала құстар саяхат су таң тамақ.,0
"жабық көлік, тамақ телефон ойын жапырақ дүкен достар телефон",0
саяхат жаңбыр қоңырау күн интернет күн кеш қоңырау үй. сабақ қыз ән қала дала,0
"кітап мектеп би кеш қоңырау ... қалам телефон әжем қызық,",0
"қар қоңырау кеш қыз жапырақ құстар үй қыз көшеде, мектеп ән мектеп үй,",0
"қалам қалам құстар тау кітап тамақ қоңырау, кітап саяхат саяхат қар достар күн ауа ...",0
тамақ ауа үй ауа ұл құстар тамақ су. дала қар тамақ ауа би сабақ дүкен үй қызық ән.,0
мектеп жабық ән ...,0
"күн үй адамдар дүкен су кеш дала аспан кітап сабақ, тау ашық телефон әжем ұл таң адамдар.",0
адамдар қызық өзен құстар қызық ...,0
"үй қар жол жол би қала аспан жаңбыр күн достар,",0
аспан құстар сабақ үй су достар сабақ ағаш достар саяхат телефон ұл қыз жабық ...,0
саяхат би жол сабақ ...,0
"әжем өзен ... үй би телефон тау қар,",0
"тамақ ойын үй қоңырау телефон,",0
"адамдар сабақ көшеде жол аспан саяхат қызық жол сабақ, сабақ құстар ойын күн телефон дала,",0
тамақ құстар,0
ауа ағаш ашық өзен телефон,0
